year,make,model,trim,msrp_approx,body_type,mpg_estimate,estimated_residual_36mo_percent
2024,Toyota,Corolla Cross,LE,24800,SUV,32,60
2024,Toyota,Corolla Cross Hybrid,S,28800,SUV,42,62
2023,Toyota,RAV4,LE,29000,SUV,30,63
2023,Toyota,RAV4,XLE Premium,33800,SUV,30,64
2024,Toyota,RAV4 Hybrid,XSE,37400,SUV,40,66
2024,Toyota,RAV4,TRD Off-Road,38300,SUV,28,67
2023,Toyota,RAV4 Prime,SE,43700,SUV,38/94 (Combined/MPGe),68
2024,Toyota,Venza,Limited Hybrid,44000,SUV,39,60
2023,Toyota,Highlander,LE,39000,SUV,25,58
2024,Toyota,Highlander,XSE,44000,SUV,25,57
2024,Toyota,Highlander Hybrid,Limited,48200,SUV,36,60
2023,Toyota,Grand Highlander,XLE,44000,SUV,24,60
2024,Toyota,Grand Highlander Hybrid,Limited,52000,SUV,36,62
2024,Toyota,4Runner,SR5,41200,SUV,17,65
2023,Toyota,4Runner,TRD Pro,54500,SUV,17,69
2024,Toyota,Sequoia,Limited,68000,SUV,22,60
2023,Toyota,Sequoia,Capstone,78500,SUV,22,61
2024,Toyota,GR86,Base,29500,Coupe,22,65
2024,Toyota,GR86,Premium,32100,Coupe,22,66
2023,Toyota,GR86,10th Anniv. Ed.,34400,Coupe,22,68
2024,Toyota,GR Corolla,Core,36800,Hatchback,24,60
2024,Toyota,GR Supra,2.0,46500,Coupe,27,55
2023,Toyota,GR Supra,3.0 Premium,57500,Coupe,23,57
2023,Toyota,Corolla Cross,XLE,27600,SUV,32,61
2024,Toyota,Highlander,Platinum,49700,SUV,25,57
2023,Toyota,RAV4 Hybrid,Limited,39000,SUV,40,65
2024,Toyota,4Runner,TRD Off-Road Premium,48000,SUV,17,67
2023,Toyota,Grand Highlander Hybrid,Max Limited,55000,SUV,34,60
2024,Toyota,GR Supra,3.0,55500,Coupe,24,56
2023,Toyota,Corolla Cross Hybrid,XLE,31000,SUV,42,63